rank,story_id,title,main_category,subcategory,book_title,author,version,readiness,hook,emotion,share,save,voice,arc,video,trust,total,decision,recommended_format,reason,fact_check_note
82,1425,Düşünceler gerçek değildir,Psikoloji,Farkındalık,Mindfulness,Jon Kabat-Zinn,1,Temel,13,8,12,14,10,8,16,5,86,Video kuyruğu,Reel + Carousel,"“Bu gerçek mi, düşünce mi?” ayrımı duygusal, uygulanabilir ve klinik çerçevesi ölçülü bir içgörü sunuyor.",Standart doğrulama
83,1804,Sekiz Mikserlik Sinyal,Liderlik,Liderlik,Grinding It Out,Ray Kroc,C2,Zengin,13,6,14,11,9,9,19,4,85,Video kuyruğu,Soru odaklı Reel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
84,1759,Ölmeyi Reddeden Hücreler,Psikoloji,Psikoloji,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2,Zengin,14,10,14,9,8,9,18,3,85,Video kuyruğu,Soru odaklı Reel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; görselleştirme yeterli.,Kaynak kontrolü şart
85,1402,Hush Puppies'in gizemli dirilişi,Felsefe,Sosyoloji,Devrilme Noktası,Malcolm Gladwell,1,Temel,14,7,13,12,9,9,18,3,85,Video kuyruğu,Reel + Carousel,Ölmekte olan ayakkabının reklamsız patlaması güçlü sosyal salgın öyküsü; satış rakamları teyit edilmeli.,Kaynak kontrolü şart
86,1710,Dokuz İşçi Sınıfı Genci Berlin’de Tarihe Nasıl Dokundu?,Tarih,Tarih,The Boys in the Boat,Daniel James Brown,2,Zengin,13,9,13,12,8,9,18,3,85,Video kuyruğu,Reel + Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; paylaşılabilirlik yeterli.,Kaynak kontrolü şart
87,1279,Zırh kuşanmak ve yalnızlık,Liderlik,Liderlik,Karanlığın Ötesi,Brené Brown,1,Temel,14,8,13,12,9,9,17,3,85,Video kuyruğu,Reel + Carousel,CEO’nun sessizliği ve Brown’ın karşı sorusu kusursuz bir açılış-dönüş kuruyor; görüşmenin kaynağı belirtilmeli.,Kaynak kontrolü şart
88,1370,Hayır'ın gücü,İletişim,Müzakere,İnsanı Anlamak,Chris Voss,1,Temel,13,7,13,14,9,8,17,4,85,Video kuyruğu,Reel + Carousel,“Evet değil hayır” önerisi güçlü bir ters köşe; iki örnek tekniği hemen denenebilir hale getiriyor.,Kaynak kontrolü önerilir
89,1764,Zehirin Cezasız Kaldığı Çağ,Psikoloji,Psikoloji,The Poisoner's Handbook,Deborah Blum,2,Zengin,13,9,13,12,8,8,17,5,85,Video kuyruğu,Reel + Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
90,1191,Howard Hughes'un çöküşü,Felsefe,Felsefe,Ego Is the Enemy,Ryan Holiday,1,Temel,15,9,12,11,9,8,17,4,85,Video kuyruğu,Soru odaklı Reel,"Milyarder mucitten karanlık otel odasına düşüş güçlü, görsel ve paylaşılabilir bir trajik yay kuruyor.",Kaynak kontrolü önerilir
91,1312,Pasta dükkanı sahibinin hatası,Verimlilik,Girişimcilik,İşin Özü,Michael Gerber,1,Temel,14,7,12,14,9,9,17,3,85,Video kuyruğu,Reel + Carousel,Pasta ustasının iş yönetimine gömülmesi tanıdık ve güçlü bir dönüş; isim/cinsiyet hatası düzeltilmeli.,Kaynak kontrolü şart
92,1125,Neden liderler en son yer?,Liderlik,Liderlik,Liderlik Sanatı,Simon Sinek,1,Temel,14,9,12,13,10,7,16,4,85,Video kuyruğu,Reel + Carousel,Son tabağı alan subay görüntüsü liderliği tek davranışta somutlaştırıyor ve güçlü sohbet açıyor.,Kaynak kontrolü önerilir
93,1349,Geri çağırma pratiği ve illüzyon bilgisi,Felsefe,Öğrenme,Öğrenmeyi Öğrenmek,Peter Brown,1,Temel,13,7,12,15,9,8,16,5,85,Video kuyruğu,Reel + Carousel,"“Anlıyorum” yanılgısından kitap kapalı teste geçiş güçlü, kanıtlı ve hemen uygulanabilir bir öğrenme tekniği.",Standart doğrulama
94,1781,Kanla Kurulan Bir Yalan,Liderlik,Liderlik,Bad Blood,John Carreyrou,2,Zengin,13,7,14,9,9,9,19,4,84,Revize et,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
95,1696,Bedavanın Gizli Maliyeti,Psikoloji,Psikoloji,Predictably Irrational,Dan Ariely,2,Zengin,13,7,14,10,9,9,18,4,84,Revize et,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
96,1692,Lincoln Neden Rakiplerini Kabinesine Aldı?,Tarih,Tarih,Rakipler Takımı,Doris Kearns Goodwin,2,Zengin,13,8,13,9,9,9,18,5,84,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; paylaşılabilirlik yeterli.,Standart doğrulama
97,1717,Nicholas Carr Neden Bir Kitabı Bitiremez Oldu?,Bilim,Teknoloji,The Shallows,Nicholas Carr,2,Zengin,12,9,13,11,9,8,18,4,84,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
98,1730,Tim Ferriss Şirketinden Uzaklaşınca Neden İşler Düzelmeye Başladı?,Verimlilik,Verimlilik,The 4-Hour Workweek,Tim Ferriss,2,Zengin,12,8,13,11,9,9,18,4,84,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
99,1736,En İyi Ekipler Neden Daha Çok Hata Bildiriyordu?,Liderlik,Yönetim,The Fearless Organization,Amy Edmondson,2,Zengin,12,9,13,11,8,9,18,4,84,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
100,1740,İtalya’daki Espresso Barı Starbucks Toplantısını Nasıl Değiştirdi?,Finans,Pazarlama,Pour Your Heart Into It,Howard Schultz ve Dori Jones Yang,2,Zengin,12,9,13,11,9,8,18,4,84,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
101,1741,Ryan Holiday Neden Sakinliği Bir Performans Gücü Saydı?,Felsefe,Felsefe,Stillness Is the Key,Ryan Holiday,2,Zengin,12,9,13,11,8,9,18,4,84,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
102,1612,Zengin görünmek ile zengin olmak — sessiz servetin sırrı,Finans,Finans,Komşu Milyoner,Thomas Stanley,1,Temel,13,8,14,13,8,7,17,4,84,Revize et,Carousel,Gizli zengin ile gösterişli borçlu karşıtlığı statü kültürüne dokunur; güçlü karakter ve görsel kontrast taşır.,Kaynak kontrolü önerilir
103,1222,Marilyn Monroe'nun soyunma odası,İletişim,İletişim,Karizmatik Olmak,Olivia Fox Cabane,1,Temel,15,9,13,11,9,8,17,2,84,Revize et,Carousel,Monroe'nun saniyeler içinde görünür olması kusursuz kamera sahnesi; anekdotun özgün kaynağı doğrulanmalı.,Kaynak kontrolü şart
104,1573,Öz meşrulaştırma — zihin nasıl kendini korur,Psikoloji,Psikoloji,Hataları Kucaklamak,Carol Tavris,1,Temel,13,8,13,12,8,8,17,5,84,Revize et,Carousel,DNA ile aklanan mahkûm karşısında savcının direnci rahatsız edici gerilimle öz gerekçelendirmeyi görünür kılıyor.,Standart doğrulama
105,1597,Mikrobiyom — içimizdeki gizli organ,Sağlık,Sağlık,İyi Bağırsak,Justin Sonnenburg,1,Temel,13,8,13,14,9,7,17,3,84,Revize et,Carousel,Mikrobiyomu gizli organ olarak göstermek şaşırtıcı ve görsel; sağlık sonuçları nüanslı verildiğinde çok güçlü.,Kaynak kontrolü şart
106,1598,Beyin-bağırsak aksı — duygu ve mikrop bağlantısı,Sağlık,Sağlık,İyi Bağırsak,Justin Sonnenburg,1,Temel,14,8,13,13,8,8,17,3,84,Revize et,Carousel,"Fareler arası mikrobiyota aktarımı net deney, dönüşüm ve görsel karşıtlık sunar; insanlara genelleme sınırlanmalı.",Kaynak kontrolü şart
107,1600,Yanlış nefes almak — sessiz salgın,Sağlık,Sağlık,Nefes,James Nestor,1,Temel,13,8,13,14,8,8,17,3,84,Revize et,Carousel,Sadece ağızdan nefes alma deneyi çarpıcı önce-sonra görüntüleri taşır; protokol ve sağlık sonuçları doğrulanmalı.,Kaynak kontrolü şart
108,1603,Wim Hof'un dağı — imkansız olduğu söylenenin kanıtı,Sağlık,Sağlık,Soğuk Yöntem,Wim Hof,1,Temel,13,8,13,13,9,8,17,3,84,Revize et,Carousel,Wim Hof'un buz içindeki bedeni olağanüstü görsel ve gerilimlidir; sonuçlar güvenli sınırlarla anlatılmalı.,Kaynak kontrolü şart
109,1609,Maliyet paradoksu — daha fazla ödemek daha az kazandırır,Finans,Finans,Mantıklı Borsa,John Bogle,1,Temel,13,7,13,15,8,7,17,4,84,Revize et,Carousel,Küçük fon ücretinin dev emeklilik kaybına dönüşmesi güçlü sayı animasyonu ve acil eylem duygusu yaratır.,Kaynak kontrolü önerilir
110,1722,Pixar’da Bir Filmi Kurtaran Toplantının Patronu Yoktu,Finans,Pazarlama,"Creativity, Inc.",Ed Catmull ve Amy Wallace,2,Zengin,13,8,13,12,8,8,17,5,84,Revize et,Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
111,1733,Beş Küçük Rica Chicken Soup’u Nasıl Fenomene Dönüştürdü?,Büyüme,Motivasyon,The Success Principles,Jack Canfield,2,Zengin,12,9,13,11,9,9,17,4,84,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
112,1735,Lencioni Neden Takım Sorununu Strateji Değil Güven Diye Okudu?,Liderlik,Liderlik,The Five Dysfunctions of a Team,Patrick Lencioni,2,Zengin,12,9,13,11,9,9,17,4,84,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
113,1737,Marie Kondo Neden “Bu Bana Neşe Veriyor mu?” Diye Sordu?,Felsefe,Yaşam,The Life-Changing Magic of Tidying Up,Marie Kondo,2,Zengin,12,9,13,11,9,9,17,4,84,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
114,1754,Zenginliğin Ölümcül Olduğu Topraklar,Tarih,Tarih,Killers of the Flower Moon,David Grann,2,Zengin,13,8,13,11,9,8,17,5,84,Revize et,Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
115,1766,Görünmeyen Katili Yıkamak,Psikoloji,Psikoloji,The Butchering Art,Lindsey Fitzharris,2,Zengin,13,8,13,11,9,8,17,5,84,Revize et,Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
116,1101,Hal Elrod'un ölümden dönüşü,Sağlık,Alışkanlıklar,Sabah Rutini,Hal Elrod,1,Temel,15,10,12,12,9,8,17,1,84,Revize et,Carousel,Klinik ölümden sabah rutinine dönüşüm çok sinematik; iki ayda borç ve hayat değişimi ciddi doğrulama ister.,Kaynak kontrolü şart
117,1453,Sekiz gün sekiz yıla bedel,Psikoloji,Mutluluk,Neşeyi Seç,Dalai Lama,1,Temel,13,8,13,13,9,7,16,5,84,Revize et,Carousel,Dalai Lama ile Desmond Tutu'nun sekiz günlük buluşması sıcak karakterler ve güçlü bir neşe vaadi taşıyor.,Standart doğrulama
118,1471,Darwin'in yürüyüş yolu,Verimlilik,Verimlilik,Dinlenmenin Gücü,Alex Soojung-Kim Pang,1,Temel,13,7,13,14,9,7,16,5,84,Revize et,Carousel,Darwin'in dört saatlik çalışma düzeni üretkenlik mitini ters yüz ediyor; yürüyüş sahneleriyle kolayca paylaşılır.,Standart doğrulama
119,1526,Bir inç çerçevesi,Finans,Finans,Parça Parça Yazmak,Anne Lamott,1,Temel,13,7,13,15,8,7,16,5,84,Revize et,Carousel,Bir inçlik çerçeve büyük işi küçültüp yapılabilir kılıyor; güçlü nesne metaforu videoda hemen anlaşılır.,Standart doğrulama
120,1537,10.000 saat efsanesi ve Anders Ericsson'un gerçek bulgusu,Liderlik,Başarı,Sıçramak,Matthew Syed,1,Temel,13,7,13,15,9,7,16,4,84,Revize et,Carousel,On bin saat mitini bozan bilinçli pratik ayrımı popüler bir inancı düzeltir ve uygulanabilir öneriler verir.,Kaynak kontrolü önerilir
121,1553,Sahte uyum tuzağı — çatışmadan kaçmak neden ekibi yavaşlatır,Liderlik,Liderlik,The Five Dysfunctions of a Team,Patrick Lencioni,1,Temel,13,8,13,13,9,7,16,5,84,Revize et,Carousel,Sahte uyumun gerçek çatışmadan tehlikeli olması güçlü ters köşe; ekip yaşayan herkes için paylaşılabilir.,Standart doğrulama
122,1562,Otomatik pilot — zihnin nerede olduğundan habersiz yaşamak,Sağlık,Sağlık,Farkındalık Temelli Yaşam,Jon Kabat-Zinn,1,Temel,13,8,13,14,8,7,16,5,84,Revize et,Carousel,Otomatik pilotta geçen hayat herkesi dürten güçlü bir ayna; gündelik sahnelerle çok kolay videolaşır.,Standart doğrulama
123,1571,Kırılganlığın döngüsü — zayıflık göstermek gücü artırır,Liderlik,Liderlik,Kültür Kodu,Daniel Coyle,1,Temel,13,8,13,13,9,7,16,5,84,Revize et,Carousel,Pixar liderinin önce kendi hatasını anlatması savunmasızlığı sahne üzerinde gösterir; güçlü ekip dersi verir.,Standart doğrulama
124,1576,Ödül paradoksu — para motivasyonu öldürebilir,Büyüme,Motivasyon,İşte Anlam,Daniel Pink,1,Temel,13,8,13,14,8,7,16,5,84,Revize et,Carousel,Ödül verilen çocukların resme ilgisini kaybetmesi şaşırtıcı ve duygulu; ebeveynler arasında çok paylaşılır.,Standart doğrulama
125,1591,Healthspan — uzun yaşamak değil iyi yaşamak,Sağlık,Sağlık,Uzun Ömür,Peter Attia,1,Temel,13,8,13,14,9,7,16,4,84,Revize et,Carousel,Seksen beşinde merdiven çıkma hedefi yaşam süresini somut bir sahneye çeviriyor; güçlü kaydetme motivasyonu verir.,Kaynak kontrolü önerilir
126,1593,Egzersiz — tek ilaç gibi çalışan tek değişken,Sağlık,Sağlık,Uzun Ömür,Peter Attia,1,Temel,13,8,13,14,8,7,16,5,84,Revize et,Carousel,"Egzersizi ilaç gibi reçete etmek net, motive edici ve uygulanabilir; geniş kitle için güçlü kayıt içeriği.",Standart doğrulama
127,1611,Piyasa zamanlaması yanılgısı — içeride kalmak neden her şeyden önemli,Finans,Finans,Mantıklı Borsa,John Bogle,1,Temel,13,7,13,15,9,7,16,4,84,Revize et,Carousel,Piyasanın en iyi günlerini kaçırma grafiği zamanlama dürtüsünü çarpıcı biçimde tersine çeviriyor.,Kaynak kontrolü önerilir
128,1615,Çığlık atan bebek ve kar topu — borcun psikolojik savaşı,Finans,Finans,Borç Devrimi,Dave Ramsey,1,Temel,13,8,13,14,8,7,16,5,84,Revize et,Carousel,Borç kartlarını birer birer kapatma kar topu yöntemi net ilerleme ve güçlü duygusal ödül sunuyor.,Standart doğrulama
129,1618,Duygusal bağ — yetişkin bağlanmasının temel ihtiyacı,İletişim,İlişkiler,İlişki Psikolojisi,Sue Johnson,1,Temel,13,8,13,14,8,7,16,5,84,Revize et,Carousel,"Üç bağlanma sorusu ilişkide kendini tanımayı tetikliyor; sesli not, kaydetme ve paylaşım değeri çok yüksek.",Standart doğrulama
130,1100,Övgünün tehlikeli iki yüzü,Psikoloji,Psikoloji,Zihin Gücü,Carol Dweck,1,Temel,14,8,12,14,9,7,16,4,84,Revize et,Carousel,"Zekisin ve çalıştın övgülerinin ayrışması net deney, ebeveynlik değeri ve yüksek paylaşım gücü sunuyor.",Kaynak kontrolü önerilir
131,1116,Şans ve risk — Bill Gates'in okul arkadaşı,Finans,Finans,The Psychology of Money,Morgan Housel,1,Temel,14,9,12,12,10,7,16,4,84,Revize et,Carousel,Aynı okuldaki iki arkadaş üzerinden şans ve risk karşıtlığı başarı anlatısını insancıllaştırıyor.,Kaynak kontrolü önerilir
132,1136,Karakter ve ahlakın kökeni,Psikoloji,Psikoloji,Sosyal Hayvan,David Brooks,1,Temel,14,8,12,13,10,7,16,4,84,Revize et,Carousel,Kol çekmek ile insan itmek arasındaki aynı matematik izleyiciyi anında taraf olmaya zorlayan güçlü deney.,Kaynak kontrolü önerilir
133,1143,Her sabah yatağını topla,Büyüme,Motivasyon,Fark Yaratmak,William H. McRaven,1,Temel,14,8,12,13,9,7,16,5,84,Revize et,Carousel,"Toplu yatakla başlayan dünya değişimi yalın, gerçek, görsel ve hemen uygulanabilir bir viral fikir.",Standart doğrulama
134,1164,Beatles'ın Hamburg günleri,Liderlik,Başarı,10.000 Saat Kuralı,Malcolm Gladwell,1,Temel,14,9,12,13,9,8,16,3,84,Revize et,Carousel,Hamburg'un yorucu sahnelerinden dünya şöhretine akış güçlü; 10 bin saat sonucu fazla basitleştiriliyor.,Kaynak kontrolü şart
135,1182,Bileşik faizin sihri,Finans,Finans,Money: Master the Game,Tony Robbins,1,Temel,15,8,12,15,9,7,16,2,84,Revize et,Carousel,Sıradan maaştan 70 milyona dönüşüm çok çarpıcı ve kaydedilir; oran ile tutar mutlaka doğrulanmalı.,Kaynak kontrolü şart
136,1187,Paraşütle atlayan kadın,Büyüme,Motivasyon,Korkusuzluk,Susan Jeffers,1,Temel,14,9,12,12,10,7,16,4,84,Revize et,Carousel,Korku geçmeden atlanan uçak güçlü fiziksel sahne ve kişisel cesaret sorusu oluşturuyor.,Kaynak kontrolü önerilir
137,1190,Epiktetos'un özgürlüğü,Felsefe,Felsefe,Stillness Is the Key,Ryan Holiday,1,Temel,14,9,12,13,10,7,16,3,84,Revize et,Carousel,Kırılan bacak karşısındaki sakin söz unutulmaz; tarihsel ayrıntılar tartışmalı olsa da ders çok güçlü.,Kaynak kontrolü şart
138,1236,Kahraman ve rehber,Finans,Pazarlama,Hikaye Anlatıcısı,Donald Miller,1,Temel,14,7,12,14,9,7,16,5,84,Revize et,Carousel,"Müşteriyi Luke, markayı Yoda yapmak anında anlaşılır, paylaşılır ve pazarlama için kaydedilir.",Standart doğrulama
139,1094,Büyük taşlar ve kavanoz dersi,Büyüme,Kişisel Gelişim,The 7 Habits of Highly Effective People,Stephen Covey,1,Temel,13,8,11,14,10,8,16,4,84,Revize et,Carousel,Kavanoz deneyi tek bakışta anlaşılır; öncelikleri yazma ve sesli düşünme isteği güçlüdür.,Kaynak kontrolü önerilir
140,1610,Haystack'i satın al — tüm samanlığı almak neden kazandırır,Finans,Finans,Mantıklı Borsa,John Bogle,1,Temel,13,8,13,14,8,8,15,5,84,Revize et,Carousel,Samanlıkta iğne aramak yerine samanlığı satın almak endeks yatırımını unutulmaz ve kaydedilir kılıyor.,Standart doğrulama
141,1148,"Sınır koymak ilişkileri yıkmaz, güçlendirir",Büyüme,Kişisel Gelişim,Sınırlar,Nedra Tawwab,1,Temel,14,9,12,13,10,7,15,4,84,Revize et,Carousel,Sınırın ilişkiyi bozmayıp bozukluğu görünür kılması güçlü karşıtlık ve yoğun kişisel paylaşım dürtüsü yaratıyor.,Kaynak kontrolü önerilir
142,1704,İyi Niyetli Bir Tabela Hırsızlığı Nasıl Artırdı?,Psikoloji,Psikoloji,Influence,Robert Cialdini,2,Zengin,14,5,14,12,7,8,19,4,83,Revize et,Carousel,"Uygulanabilir çerçeve, hikâyeyi geri dönüp kaydetmeye değer kılıyor; olay örgüsü yeterli.",Kaynak kontrolü önerilir
143,1721,Kıtalar Bir Yapboz Gibi Uyuşuyorsa Tesadüf müydü?,Psikoloji,Psikoloji,A Short History of Nearly Everything,Bill Bryson,2,Zengin,12,8,13,11,8,9,18,4,83,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
144,1292,McDonald's aslında ne satıyor?,Finans,Finans,Zengin Baba Fakir Baba,Robert Kiyosaki,1,Temel,14,7,13,12,9,8,17,3,83,Revize et,Carousel,Hamburgerden gayrimenkule dönüş güçlü bir iş dünyası ters köşesi; alıntı ve mülkiyet modeli teyit edilmeli.,Kaynak kontrolü şart
145,1300,Şempanze testi ve insan yanılgısı,Felsefe,Düşünme,Akıl Yürütme,Hans Rosling,1,Temel,14,7,13,11,9,8,17,4,83,Revize et,Carousel,Şempanzenin uzmanları geçmesi çok güçlü ve görsel bir ters köşe; veri okuryazarlığı mesajı net sonuçlanıyor.,Kaynak kontrolü önerilir
146,1475,Tarım devrimi — insanlığın en büyük aldatmacası,Tarih,Tarih,İnsanlığın Kısa Tarihi,Yuval Noah Harari,1,Temel,13,8,13,12,9,7,17,4,83,Revize et,Carousel,Tarım devriminin tuzak oluşu büyük bir tarihsel ters köşe; görsel zaman çizgisiyle çok dikkat çeker.,Kaynak kontrolü önerilir
147,1708,Bir Gazete Haberi Zekâ Tanımını Nasıl Değiştirdi?,Psikoloji,Psikoloji,Emotional Intelligence,Daniel Goleman,2,Zengin,12,8,13,11,9,9,17,4,83,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
148,1711,Zengin Görünmek ile Zengin Olmak Arasındaki Fark,Finans,Finans,The Simple Path to Wealth,J. L. Collins,2,Zengin,12,9,13,11,9,8,17,4,83,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
149,1742,Bir Telefon Görüşmesi Neden Mutluluk Araştırmasına Dönüştü?,Psikoloji,Mutluluk,The Good Life,Robert Waldinger,2,Zengin,12,9,13,11,9,8,17,4,83,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
150,1745,Kağıdı Batıya Taşıyan Savaş,Tarih,Tarih,The Silk Roads,Peter Frankopan,2,Zengin,13,8,13,9,9,9,17,5,83,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; görselleştirme yeterli.,Standart doğrulama
